Downloaded from
https://www.nutritionvalue.org


Nutrient,"Okara","Pure okara flour by Renewal Mill, PBC"
"Weight",100 g,100 g
"Calories",76,400
"Vitamin A, RAE",0 mcg,
"Retinol",0 mcg,
"Thiamin",0.02 mg,
"Riboflavin",0.02 mg,
"Niacin",0.1 mg,
"Pantothenic acid",0.09 mg,
"Vitamin B6",0.12 mg,
"Vitamin B12",0 mcg,
"Folate, DFE",26 mcg,
"Folate, food",26 mcg,
"Folic acid",0 mcg,
"Vitamin C",0 mg,
"Vitamin D",0 mcg,
"Calcium",80 mg,457 mg
"Copper",0.2 mg,
"Iron",1.3 mg,4 mg
"Magnesium",26 mg,
"Manganese",0.4 mg,
"Phosphorus",60 mg,
"Potassium",213 mg,0 mg
"Selenium",10.6 mcg,
"Sodium",9 mg,71 mg
"Zinc",0.56 mg,
"Protein",3.52 g,20 g
"Alanine",0.13 g,
"Arginine",0.21 g,
"Aspartic acid",0.35 g,
"Cystine",0.04 g,
"Glutamic acid",0.56 g,
"Glycine",0.13 g,
"Histidine",0.09 g,
"Isoleucine",0.16 g,
"Leucine",0.24 g,
"Lysine",0.21 g,
"Methionine",0.04 g,
"Phenylalanine",0.16 g,
"Proline",0.17 g,
"Serine",0.15 g,
"Threonine",0.13 g,
"Tryptophan",0.05 g,
"Tyrosine",0.11 g,
"Valine",0.16 g,
"Fat",1.73 g,5.71 g
"Saturated fatty acids",0.19 g,0 g
"Hexadecanoic acid",0.14 g,
"Octadecanoic acid",0.05 g,
"Tetradecanoic acid",0 g,
"Monounsaturated fatty acids",0.29 g,
"Hexadecenoic acid",0 g,
"Octadecenoic acid",0.29 g,
"Polyunsaturated fatty acids",0.76 g,
"Octadecadienoic acid",0.67 g,
"Octadecatrienoic acid",0.09 g,
"Fatty acids, total trans",0 g,0 g
"Carbohydrate",12.23 g,65.71 g
"Fiber",,57.1 g
"Sugars",,0 g
"Cholesterol",0 mg,0 mg
"Ash",0.88 g,
"Water",81.64 g,
Downloaded from
https://www.nutritionvalue.org
